Country,Totallife,Malelife,Femalelife,S2016Rural,S2016Urban,S2016Total,W2016Rural,W2016Urban,W2016Total,S2010Rural,S2010Urban,S2010Total,W2010Rural,W2010Urban,W2010Total,S2000Rural,S2000Urban,S2000Total,W2000Rural,W2000Urban,W2000Total
Mongolia,69.8,65.7,74.2,42,66,58,55,96,83,35,65,56,44,92,77,26,64,48,29,87,62
Montenegro,76.8,74.4,79.2,94,100,98,99,96,97,90,96,94,95,96,96,0,0,0,0,0,0
Morocco,76,74.8,77,79,94,88,71,97,87,67,91,81,53,95,77,46,83,66,28,92,62
Mozambique,60.1,57.7,62.3,16,51,28,38,83,53,10,44,21,25,73,40,2,32,10,4,58,20
Myanmar,66.8,64.6,68.9,60,76,65,76,92,81,62,79,67,62,84,68,67,82,71,38,68,46
Namibia,63.7,61.1,66.1,18,52,34,69,97,82,16,55,32,68,97,80,13,59,28,66,98,77
Nepal,70.2,68.8,71.6,57,65,59,88,89,88,39,52,41,84,91,85,12,33,15,78,93,80
Netherlands,81.6,80,83.2,100,98,98,100,100,100,100,98,98,100,100,100,100,98,98,100,100,100
New Zealand,82.2,80.5,84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nicaragua,75.5,72.5,78.4,62,84,74,59,98,82,55,79,68,61,97,81,43,71,58,63,96,81
Niger,59.8,59,60.8,7,43,13,43,85,50,6,37,11,36,88,45,1,25,5,24,94,36
Nigeria,55.2,54.7,55.7,31,47,38,54,87,70,30,40,34,47,81,62,29,30,30,35,73,48
Norway,82.5,80.6,84.3,98,98,98,100,100,100,98,98,98,100,100,100,98,98,98,100,100,100
Oman,77,75.3,79.5,100,100,100,78,95,92,93,99,97,67,90,84,77,93,89,0,0,0
Pakistan,66.5,65.7,67.4,48,76,58,89,94,91,37,72,49,86,95,89,14,66,31,81,95,86
Panama,78,75,81.2,64,91,82,92,98,96,56,84,74,85,98,93,44,71,61,75,97,88
Papua New Guinea,65.9,63.6,68.3,8,49,14,34,86,41,12,54,17,30,84,37,15,58,21,27,83,34
Paraguay,74.2,72.4,76.1,81,94,89,97,100,99,70,90,82,80,97,90,52,85,70,53,94,75
Peru,75.9,73.4,78.3,55,79,74,74,95,91,45,79,71,66,94,87,29,77,64,51,92,81
Philippines,69.3,66.2,72.6,73,78,75,89,97,93,63,75,69,85,96,90,53,72,62,79,93,86
Poland,77.8,73.8,81.6,99,98,98,99,100,99,91,97,94,95,99,97,77,94,88,0,0,0
Portugal,81.5,78.3,84.5,100,99,100,100,100,100,98,99,99,99,100,100,96,98,97,98,99,99
Qatar,78.1,77.3,79.9,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
Republic of Korea,82.7,79.5,85.6,0,0,100,0,0,100,0,0,100,0,0,99,0,0,100,0,0,0
Republic of Moldova,71.5,67.6,75.3,68,86,76,83,97,89,66,87,75,79,96,86,62,89,74,74,95,83
Romania,75.2,71.6,79,70,95,84,100,100,100,62,94,79,100,100,100,0,0,0,100,100,100
Russian Federation,71.9,66.4,77.2,77,95,90,92,99,97,69,94,88,89,99,96,55,94,83,85,99,95
