Country,2015,2015capita,2014,2014capita,2013,2013capita,2012,2012capita,2011,2011capita,2010,2010capita,2009,2009capita,2008,2008capita,2007,2007capita,2006,2006capita,2005,2005capita,2004,2004capita,2003,2003capita,2002,2002capia,2001,2001capita,2000,2000capita
Finland,9.4,3996.4,9.5,3938.8,9.5,3923.3,9.3,3774.1,8.9,3640.6,8.9,3442.2,8.9,3359.6,8.1,3231.2,7.8,2949.5,8,2752.2,8,2558.9,7.8,2426.1,7.7,2220.9,7.4,2102.3,7,1944.3,6.8,1827.6
France,11.1,4542.3,11.1,4478.7,10.9,4345.9,10.8,4100,10.7,4039.9,10.7,3881.4,10.8,3778,10.1,3571.9,10,3421.7,10,3289.4,10.2,3135.4,10.1,2972.8,10,2854.7,10,2876.4,9.7,2691.9,9.5,2514.1
Gabon,2.7,480.9,2.5,445,2.8,485.2,2.4,398.4,2.6,406.5,2.5,372.5,3.5,493.4,2.6,374.8,2.9,443,2.9,424.4,2.8,420.8,3.3,474.9,3.5,499.7,3.2,457.7,3.2,461.2,2.9,408.7
Gambia,6.7,114.1,7,115.4,6.1,101.7,6.1,98.1,6.2,95.2,5.7,93,5.8,89.8,5.9,88.4,5.7,81.8,5.5,75.9,4.9,67.5,4.4,60.6,4.2,55.1,3.8,46.4,3.7,48.3,3.6,44.8
Georgia,7.9,717.7,8.4,725.8,8.4,669.3,8.4,625.8,8.4,570.3,9.5,584.3,9.8,552.5,8.7,496.8,7.6,414.9,7.8,364.6,8.3,338.9,8.3,297,8.2,268.1,8,228.6,7.4,193.6,7.4,179.3
Germany,11.2,5356.8,11.1,5204.5,11,4965.4,10.8,4707.4,10.7,4588.5,11,4413,11.2,4213.9,10.2,3936.1,10,3695.5,10.1,3521.5,10.3,3330.6,10.1,3226.5,10.4,3143.6,10.1,3001.6,9.9,2847.2,9.8,2708.9
Ghana,5.9,249.3,5.5,225.4,5.8,227.2,5.5,202,6.1,207.4,6.5,195.4,6.5,183.1,6.4,175.1,6.2,156,6.2,149.1,6.3,232.6,5.1,176.4,5.1,165.9,5,157.6,5.6,168.7,5.1,148.6
Greece,8.4,2204.4,7.9,2094.3,8.3,2169.8,8.8,2210.7,9.1,2374.3,9.6,2696.9,9.5,2881.1,9.4,2899.6,9.1,2655.9,9,2561.9,9,2304.7,7.9,2021.8,8.2,1959,8.2,1864.4,8,1682.5,7.2,1416.7
Grenada,5,677.5,5.3,667.9,5.6,654.8,5.8,651.8,6.1,684.7,6.1,671.4,6,658.1,5.7,667.7,5.7,644.9,5.8,608.9,5.3,558.1,5.1,466.1,5.2,465.8,5.8,461,5.4,410.1,5.1,390.2
Guatemala,5.7,443.9,6.2,467.2,6.2,450.9,6.3,440.1,6.2,422.5,6.4,421.7,6.6,427.2,6.5,425.1,6.7,424.3,6.9,410.7,6.6,369.9,6.7,361.1,6.8,352.4,6.7,338,6.7,330.7,5.2,249.4
