Country,2017 Rural,2017 Urban,2017 Total,2016 Rural,2016 Urban,2016 Total,2015 Rural,2015 Urban,2015 Total,2014 Rural,2014 Urban,2014 Total,2013 Rural,2013 Urban,2013 Total,2012 Rural,2012 Urban,2012 Total,2011 Rural,2011 Urban,2011 Total,2010 Rural,2010 Urban,2010 Total,2009 Rural,2009 Urban,2009 Total,2008 Rural,2008 Urban,2008 Total,2007 Rural,2007 Urban,2007 Total,2006 Rural,2006 Urban,2006 Total,2005 Rural,2005 Urban,2005 Total,2004 Rural,2004 Urban,2004 Total,2003 Rural,2003 Urban,2003 Total,2002 Rural,2002 Urban,2002 Total,2001 Rural,2001 Urban,2001 Total,2000 Rural,2000 Urban,2000 Total
Ecuador,83,91,88,81,91,87,80,90,86,78,89,85,76,88,84,75,88,83,73,87,82,71,86,81,69,85,79,68,85,78,66,84,77,64,83,76,63,83,75,61,82,74,59,81,73,57,81,72,56,81,71,54,80,70
Egypt,91,98,94,91,98,94,91,98,94,91,98,94,91,98,94,91,97,94,91,97,94,91,97,93,91,97,93,91,97,93,91,96,93,90,96,93,90,96,93,90,96,93,90,96,93,90,95,92,90,95,92,90,95,92
El Salvador,79,91,87,78,91,87,78,91,87,78,91,87,78,91,87,77,91,86,77,91,86,77,90,86,77,90,85,76,90,85,76,90,85,76,90,85,75,90,84,75,90,84,74,90,84,74,90,83,74,90,83,74,90,83
Equatorial Guinea,57,70,66,57,70,66,57,70,66,57,70,66,57,70,66,56,69,65,55,69,65,55,69,64,54,68,63,53,68,62,52,67,61,51,67,60,50,67,60,49,66,59,48,66,58,47,65,57,46,65,56,46,64,55
Eritrea,,,,6,22,12,6,22,12,6,22,12,6,22,12,6,22,12,5,22,11,5,23,11,5,23,11,4,24,11,4,24,11,3,25,10,3,25,10,3,26,10,2,26,9,2,26,9,2,27,9,1,27,8
Estonia,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,99,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100
Eswatini,61,51,58,61,51,58,60,52,58,59,53,57,58,54,57,57,56,56,56,57,56,55,58,55,54,59,55,53,60,54,52,61,54,51,62,53,50,64,53,49,65,52,48,66,52,47,67,51,46,68,51,45,68,50
Ethiopia,4,20,7,4,19,7,4,19,7,4,19,7,4,19,6,3,19,6,3,18,6,3,18,6,3,18,5,3,18,5,3,17,5,2,17,5,2,17,5,2,17,4,2,17,4,2,16,4,1,16,4,1,16,3
Fiji,95,95,95,95,95,95,94,95,95,92,95,93,90,94,92,88,94,91,86,94,90,85,93,89,83,93,88,81,92,87,79,92,86,77,92,84,75,91,83,73,91,82,72,91,81,70,90,80,70,90,80,70,90,80
Finland,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
France,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Gabon,37,49,47,37,49,47,37,49,47,38,48,47,37,48,46,37,47,45,36,46,44,36,45,43,35,44,42,35,43,42,34,42,41,34,41,40,33,40,39,33,39,38,32,38,37,32,37,36,31,36,35,31,36,34
Gambia,30,45,39,30,45,39,30,45,39,32,46,40,34,46,41,36,46,42,38,47,43,41,47,44,43,47,45,45,48,46,48,48,48,50,48,49,53,48,50,55,49,52,58,49,53,60,50,55,62,50,56,64,51,58
Georgia,83,95,90,84,95,90,84,95,90,85,95,91,86,95,91,87,95,91,87,95,91,88,95,92,89,94,92,90,94,92,91,94,93,91,94,93,92,94,93,93,94,93,94,94,94,95,94,94,95,94,95,96,94,95
