Country,2017 Rural,2017 Urban,2017 Total,2016 Rural,2016 Urban,2016 Total,2015 Rural,2015 Urban,2015 Total,2014 Rural,2014 Urban,2014 Total,2013 Rural,2013 Urban,2013 Total,2012 Rural,2012 Urban,2012 Total,2011 Rural,2011 Urban,2011 Total,2010 Rural,2010 Urban,2010 Total,2009 Rural,2009 Urban,2009 Total,2008 Rural,2008 Urban,2008 Total,2007 Rural,2007 Urban,2007 Total,2006 Rural,2006 Urban,2006 Total,2005 Rural,2005 Urban,2005 Total,2004 Rural,2004 Urban,2004 Total,2003 Rural,2003 Urban,2003 Total,2002 Rural,2002 Urban,2002 Total,2001 Rural,2001 Urban,2001 Total,2000 Rural,2000 Urban,2000 Total
Ecuador,83,100,94,83,100,94,82,100,93,81,99,92,80,98,92,80,98,91,79,97,90,78,96,90,77,96,89,76,95,88,76,95,87,75,94,87,74,93,86,73,93,85,72,92,85,72,92,84,71,91,83,70,90,82
Egypt,99,99,99,99,99,99,99,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,99,98,99,98,98,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98
El Salvador,92,99,97,92,99,97,89,99,96,87,99,95,84,98,94,81,98,92,79,97,91,76,97,90,74,97,89,71,96,87,69,96,86,67,95,85,64,95,83,62,95,82,60,94,81,58,94,79,56,93,78,56,93,78
Equatorial Guinea,31,78,65,31,78,64,31,78,64,31,78,64,31,78,64,31,77,63,32,76,62,33,75,60,33,74,59,34,73,58,34,72,57,35,70,56,36,69,55,36,68,54,37,67,53,37,66,53,38,65,52,39,64,51
Eritrea,,,,28,90,52,28,90,51,28,90,51,28,90,51,28,90,50,28,90,50,28,90,50,29,90,50,29,90,50,29,90,49,29,90,49,30,90,48,30,90,48,30,90,48,30,90,47,31,90,47,31,91,47
Estonia,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,100,99,100,99,98,100,99,98,100,99,98,100,99,98,100,99,98,100,99,98,100,99,98,100,99,97,100,99,97,100,99
Eswatini,60,97,69,60,97,69,59,96,68,58,95,67,57,95,66,56,94,65,55,94,64,54,93,63,53,92,62,52,92,61,51,91,59,50,90,58,48,90,57,47,89,57,46,88,56,45,88,55,44,87,54,43,87,53
Ethiopia,31,80,41,30,80,40,29,80,39,28,80,38,27,80,37,26,79,36,25,79,34,23,79,33,22,79,32,21,79,30,19,78,29,18,78,28,17,78,26,15,78,25,14,78,23,12,77,22,10,77,20,9,77,19
Fiji,89,98,94,89,98,94,89,98,94,89,98,94,89,98,94,89,98,94,89,98,94,90,98,94,90,98,94,90,98,94,90,99,94,90,99,94,90,99,94,90,99,95,91,99,95,91,99,95,91,99,95,91,99,95
Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
